feature,importance
qualifying_position,0.4409883
constructor_form,0.13437729
avg_quali_last_5,0.06421498
avg_finish_last_5,0.05460127
podium_rate,0.050753705
driver_code_encoded,0.047292534
circuit_id_encoded,0.045688316
team_id_encoded,0.04442159
dnf_rate,0.043908488
reliability_score,0.03999954
teammate_delta,0.03375397
